id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,National-Oilwell Varco,14574,104632,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,L Brands ,13741,104638,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,5,121349,Tenet Healthcare,14274,104647,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Amphenol ,18162,104652,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,14,121349,CBS ,14380,104661,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,TJX Companies ,14299,104675,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Kansas City Southern,18788,104716,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,18,121349,Autodesk,13072,104731,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,13,121349,Thermo Fisher Scientific,14285,104749,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,12,121349,Ford Motor,13476,104762,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,13,121349,Occidental Petroleum ,13920,104774,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Coca-Cola,13264,104787,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,32,121349,Home Depot ,13587,104795,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,40,121349,Altera ,12994,104827,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Eversource Energy,13907,104867,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,80,121349,Juniper Networks,18661,105083,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,506,121349,Juniper Networks,18661,105211,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,291,121349,Chesapeake Energy ,19049,105717,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,67,121349,Juniper Networks,18661,106008,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,47,121349,AbbVie ,315494,106075,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,25,121349,Apache ,13036,106122,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,Xylem ,174354,106227,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,AES,12960,106237,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Stanley Black & Decker,14209,106243,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Stryker ,14228,106251,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,CF Industries Holdings,107648,106267,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,L-3 Communications Holdings,13717,106275,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,40,121349,Xerox,14447,106323,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,104,121349,DaVita HealthCare Partners ,18612,106363,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,64,121349,Pitney Bowes,14008,106467,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,40,121349,Nike ,13897,106531,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,39,121349,Kimberly Clark,13704,106571,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,81,121349,Symantec ,14247,106610,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,47,121349,Ball ,13084,106691,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,706,121349,Walt Disney ,14398,106738,Walt Disney 
